标题： 生活大爆炸：怪才遇怪人，世界上还有这样挑对象的人，太奇怪了！ 	 链接：http://tieba.baidu.com/p/5977863101 	 发帖人：阿喵午休... 	 发帖时间：12-14 	 回复数量： 0 
标题： 谢耳朵的音乐细菌 	 链接：http://tieba.baidu.com/p/5978540045 	 发帖人：威武的小... 	 发帖时间：12-14 	 回复数量： 16 
标题： 我觉得谢耳朵和佩妮才是应该在一起的一对啊！ 	 链接：http://tieba.baidu.com/p/5971977896 	 发帖人：深夜狂热 	 发帖时间：12-7 	 回复数量： 3 
标题： 第一季的胖妮好瘦好年轻啊… 	 链接：http://tieba.baidu.com/p/5969424778 	 发帖人：cszdlk78 	 发帖时间：12-5 	 回复数量： 4 
标题： 问大家，大爆炸里被众人嫌弃的水行侠是不是就是最近比较火的海王 	 链接：http://tieba.baidu.com/p/5975112003 	 发帖人：壮熊爱爱 	 发帖时间：12-11 	 回复数量： 2 
标题： 哪位大佬有霍华德妈妈说话的合集，想看看 	 链接：http://tieba.baidu.com/p/5978470168 	 发帖人：interestinguu 	 发帖时间：12-14 	 回复数量： 0 
标题： 耳朵与raj的小默契 秒懂 	 链接：http://tieba.baidu.com/p/5975203028 	 发帖人：Kredom 	 发帖时间：12-11 	 回复数量： 8 
标题： 【吧规+导航】《TBBT吧》删帖封禁标准，不看被删/封别找吧务 	 链接：http://tieba.baidu.com/p/3070074029 	 发帖人：将轨 	 发帖时间：2014-05 	 回复数量： 57 
标题： 【生活大爆炸】TBBT S11E16 	 链接：http://tieba.baidu.com/p/5585492686 	 发帖人：玺子 	 发帖时间：3-9 	 回复数量： 68 
标题： 美国人真的和美剧那样对性很开放吗 	 链接：http://tieba.baidu.com/p/4996059425 	 发帖人：姬月漓 	 发帖时间：2017-02 	 回复数量： 113 
标题： 大家好 想重温 有没有全季的熟肉... 	 链接：http://tieba.baidu.com/p/5977918187 	 发帖人：大头是蘑菇 	 发帖时间：12-14 	 回复数量： 0 
标题： 当胖妮知道艾米拿自己做实验之后，接下来的就是暴怒 	 链接：http://tieba.baidu.com/p/5977863231 	 发帖人：肳干陈泪c 	 发帖时间：12-14 	 回复数量： 1 
