,link,name,replyNum,time,title
26,http://tieba.baidu.com/p/3747237791,主题作者: xufeiwwcc,16,2015-05,从第六集开始那个谢耳朵女朋友出现我真是看不下去了！长这样吓死
27,http://tieba.baidu.com/p/5979010127,主题作者: 最好的自己💢,1,12-15,《生活大爆炸》搞笑片段！！①http://www.bilib
28,http://tieba.baidu.com/p/4549070309,主题作者:,55,2016-05,感觉我讨厌谢尔顿了
29,http://tieba.baidu.com/p/5978999294,主题作者: 最好的自己💢,0,12-15,搞笑的《生活大爆炸》片段！http://www.bilibi
30,http://tieba.baidu.com/p/5978055853,主题作者: 🌵nicer🌵,0,12-14,这个视频真的可以看好多遍
31,http://tieba.baidu.com/p/5978227429,主题作者: Michelle3220,3,12-14,有没有大神知道这是哪一集里面的呀？
32,http://tieba.baidu.com/p/5978804940,主题作者: 粉色跳楼少女c,0,12-15,莱纳德签署的一系列室友协议以及引发的后果
33,http://tieba.baidu.com/p/5978601191,主题作者: 白鸽泉水y,0,12-14,佩妮和谢尔顿有爱搞笑瞬间第五弹，日常的相爱相杀
34,http://tieba.baidu.com/p/5977863101,主题作者: 阿喵午休时间c,0,12-14,生活大爆炸：怪才遇怪人，世界上还有这样挑对象的人，太奇怪了！
35,http://tieba.baidu.com/p/5971977896,主题作者: 深夜狂热,3,12-7,我觉得谢耳朵和佩妮才是应该在一起的一对啊！
36,http://tieba.baidu.com/p/5969424778,主题作者: cszdlk78,4,12-5,第一季的胖妮好瘦好年轻啊…
37,http://tieba.baidu.com/p/5975112003,主题作者: 壮熊爱爱,2,12-11,问大家，大爆炸里被众人嫌弃的水行侠是不是就是最近比较火的海王
38,http://tieba.baidu.com/p/5978470168,主题作者: interestinguu,0,12-14,哪位大佬有霍华德妈妈说话的合集，想看看
39,http://tieba.baidu.com/p/5975203028,主题作者: Kredom,8,12-11,耳朵与raj的小默契 秒懂
40,http://tieba.baidu.com/p/3070074029,主题作者: 将轨,57,2014-05,【吧规+导航】《TBBT吧》删帖封禁标准，不看被删/封别找吧务
41,http://tieba.baidu.com/p/5585492686,主题作者: 晨曦Dreamland,68,3-9,【生活大爆炸】TBBT S11E16
